Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,Events,EV.1,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,location,at_bats,hard_hits,correct_hardhit%
8/29/23,NYY,DET,2,RF,4.0,1,0,0,0,1,0,0,0,0.0,25.00%,0,0.333,92.3,0.25,0.25,0.25,0.221,36,3.0,92.3,104.2,14.7,0,0.00%,1,0.333,away,4.0,1.0,0.25
8/28/23,NYY,DET,2,RF,5.0,1,0,0,1,2,1,0,0,0.4,40.00%,1,0,103.5,0.333,0.6,1.333,0.679,354,1.0,103.5,103.5,24.1,1,100.00%,1,1.0,away,3.0,1.0,0.33
8/27/23,NYY,TBR,2,DH,4.0,0,0,0,0,0,0,0,0,0.0,75.00%,0,0,86.2,0,0,0,0,-100,1.0,86.2,86.2,38.9,0,0.00%,0,0.0,away,4.0,0.0,0.0
8/26/23,NYY,TBR,2,DH,4.0,0,0,0,0,0,0,0,0,0.0,25.00%,0,0,90.3,0,0,0,0,-100,3.0,90.3,96.7,50.3,0,0.00%,1,0.333,away,4.0,1.0,0.25
8/24/23,NYY,WSN,2,RF,5.0,1,0,0,1,1,1,0,0,0.2,0.00%,0.75,0,97.9,0.25,0.4,1,0.54,257,4.0,97.9,109.9,50,1,25.00%,2,0.5,home,4.0,2.0,0.5
8/23/23,NYY,WSN,2,DH,4.0,3,0,0,3,3,6,0,0,0.0,0.00%,2.25,0,103.9,0.75,0.75,3,1.503,925,4.0,103.9,112.8,25.9,2,50.00%,3,0.75,home,4.0,3.0,0.75
8/22/23,NYY,WSN,2,RF,4.0,0,0,0,0,0,0,0,0,0.0,75.00%,0,0,100.5,0,0,0,0,-100,1.0,100.5,100.5,35.9,0,0.00%,1,1.0,home,4.0,1.0,0.25
8/20/23,NYY,BOS,2,DH,5.0,0,0,0,0,0,0,0,0,0.2,60.00%,0,0,100.9,0,0.2,0,0.139,-20,1.0,100.9,100.9,40.1,0,0.00%,1,1.0,home,4.0,1.0,0.25
8/19/23,NYY,BOS,2,RF,4.0,1,0,0,1,1,1,0,0,0.0,0.00%,0.75,0,102.7,0.25,0.25,1,0.501,230,4.0,102.7,110,35,2,50.00%,3,0.75,home,4.0,3.0,0.75
8/18/23,NYY,BOS,2,DH,4.0,1,0,0,1,1,2,0,0,0.0,25.00%,0.75,0,98,0.25,0.25,1,0.501,230,3.0,98,104.7,8.4,1,33.30%,2,0.667,home,4.0,2.0,0.5
8/16/23,NYY,ATL,3,DH,4.0,1,0,0,0,0,0,0,0,0.0,75.00%,0,1,105.4,0.25,0.25,0.25,0.221,36,1.0,105.4,105.4,13,0,0.00%,1,1.0,away,4.0,1.0,0.25
8/15/23,NYY,ATL,2,RF,4.0,0,0,0,0,0,0,0,0,0.5,0.00%,0,0,83,0,0.5,0,0.348,124,2.0,83,88.9,-31.1,0,0.00%,0,0.0,away,2.0,0.0,0.0
8/14/23,NYY,ATL,2,DH,4.0,2,0,0,0,0,0,0,0,0.0,0.00%,0,0.5,100.1,0.5,0.5,0.5,0.441,189,4.0,100.1,112.9,15.3,0,0.00%,3,0.75,away,4.0,3.0,0.75
8/13/23,NYY,MIA,2,RF,5.0,0,0,0,0,1,0,0,0,0.4,0.00%,0,0,90.4,0,0.4,0,0.278,76,3.0,90.4,103.3,22.6,0,0.00%,2,0.667,away,3.0,2.0,0.67
8/12/23,NYY,MIA,2,RF,4.0,1,0,0,0,0,0,0,0,0.0,25.00%,0,0.333,101.2,0.25,0.25,0.25,0.221,36,3.0,101.2,108.7,7.7,0,0.00%,3,1.0,away,4.0,3.0,0.75
8/11/23,NYY,MIA,2,DH,5.0,1,0,0,1,1,1,0,0,0.4,40.00%,1,0,113.8,0.333,0.6,1.333,0.679,354,1.0,113.8,113.8,26.5,1,100.00%,1,1.0,away,3.0,1.0,0.33
8/9/23,NYY,CHW,2,RF,4.0,1,0,0,0,1,0,0,0,0.25,0.00%,0,0.333,92.4,0.333,0.5,0.333,0.395,157,3.0,92.4,100.4,23.4,0,0.00%,2,0.667,away,3.0,2.0,0.67
