"game_id","play_id","half","shooter","shot_outcome","shooter_team","shot_outcome_numeric","shot_sequence","previous_shots"
401169778,12,1,"Jeremiah Robinson-Earl","missed","Villanova",-1,-1,1
401169780,12,1,"Collin Gillespie","missed","Villanova",-1,-1,4
401182609,12,1,"Tyson Carter","missed","Mississippi State",-1,-2,-1
401169782,12,1,"Ryan Betley","made","Pennsylvania",1,1,0
401169785,12,1,"Saddiq Bey","missed","Villanova",-1,-1,0
401168325,12,1,"Marcus Zegarowski","missed","Creighton",-1,-1,0
401168396,12,1,"Saddiq Bey","made","Villanova",1,1,-1
401168302,12,1,"Jermaine Samuels","missed","Villanova",-1,-1,0
401168435,12,1,"Collin Gillespie","made","Villanova",1,2,1
401168331,12,1,"Marcus Zegarowski","missed","Creighton",-1,-1,0
401168419,12,1,"Saddiq Bey","missed","Villanova",-1,-1,0
401168439,12,1,"Jermaine Samuels","missed","Villanova",-1,-1,0
401168454,12,1,"Saddiq Bey","missed","Villanova",-1,-1,1
401166061,13,1,"Jeremiah Robinson-Earl","made","Villanova",1,1,0
401169779,13,1,"Ben Vander Plas","missed","Ohio",-1,-1,-1
401169781,13,1,"Isiah Deas","missed","La Salle",-1,-1,0
401169784,13,1,"Jermaine Samuels","made","Villanova",1,1,0
401169661,13,1,"Marcus Garrett","missed","Kansas",-1,-1,0
401168413,13,1,"Sacar Anim","missed","Marquette",-1,-1,0
401168396,13,1,"Omer Yurtseven","missed","Georgetown",-1,-1,0
401169470,13,1,"James Bouknight","made","UConn",1,1,-1
401168435,13,1,"Collin Gillespie","missed","Villanova",-1,-1,2
401168468,13,1,"Rasheem Dunn","made","St. John's",1,1,0
401168306,13,1,"Bryce Nze","missed","Butler",-1,-1,0
401168452,13,1,"Quincy McKnight","made","Seton Hall",1,1,0
401168470,13,1,"Justin Moore","made","Villanova",1,1,0
401169778,14,1,"Lonnie Grayson","missed","Army",-1,-2,-1
401169780,14,1,"C.J. Jones","missed","Middle Tennessee",-1,-1,0
401182609,14,1,"Collin Gillespie","made","Villanova",1,1,0
401169782,14,1,"Saddiq Bey","made","Villanova",1,1,-1
401169783,14,1,"Rahmir Moore","missed","Saint Joseph's",-1,-2,-1
401169784,14,1,"Ryan Allen","missed","Delaware",-1,-1,0
401168325,14,1,"Jeremiah Robinson-Earl","missed","Villanova",-1,-1,0
401169470,14,1,"Saddiq Bey","made","Villanova",1,1,0
401168468,14,1,"Collin Gillespie","missed","Villanova",-1,-1,0
401168419,14,1,"Markus Howard","missed","Marquette",-1,-1,1
401169471,14,1,"Justin Moore","missed","Villanova",-1,-1,0
401168470,14,1,"LJ Figueroa","missed","St. John's",-1,-2,-1
401168439,14,1,"Jermaine Samuels","made","Villanova",1,1,-1
401168454,14,1,"Quincy McKnight","made","Seton Hall",1,1,0
401168404,14,1,"Jeremiah Robinson-Earl","made","Villanova",1,1,0
401166061,15,1,"CJ Walker","made","Ohio State",1,2,1
401169779,15,1,"Saddiq Bey","made","Villanova",1,1,0
401182609,15,1,"Tyson Carter","made","Mississippi State",1,1,-2
401185770,15,1,"Freddie Gillespie","missed","Baylor",-1,-1,0
401169782,15,1,"Saddiq Bey","made","Villanova",1,2,1
401169661,15,1,"David McCormack","made","Kansas",1,2,1
401169785,15,1,"Collin Gillespie","made","Villanova",1,1,-1
401168413,15,1,"Cole Swider","made","Villanova",1,1,0
401168352,15,1,"Collin Gillespie","missed","Villanova",-1,-1,0
401169470,15,1,"Christian Vital","made","UConn",1,1,0
401168435,15,1,"Jeremiah Robinson-Earl","made","Villanova",1,1,0
401168331,15,1,"Christian Bishop","missed","Creighton",-1,-2,-1
401168452,15,1,"Quincy McKnight","made","Seton Hall",1,2,1
401169786,15,1,"Saddiq Bey","made","Villanova",1,1,-1
401168439,15,1,"Luwane Pipkins","missed","Providence",-1,-1,0
401168454,15,1,"Justin Moore","made","Villanova",1,1,0
401169778,16,1,"Saddiq Bey","missed","Villanova",-1,-1,1
401169779,16,1,"Jason Preston","missed","Ohio",-1,-1,2
401182609,16,1,"Collin Gillespie","missed","Villanova",-1,-1,1
401169781,16,1,"Collin Gillespie","made","Villanova",1,1,-1
401169782,16,1,"Jordan Dingle","missed","Pennsylvania",-1,-2,-1
401169783,16,1,"Collin Gillespie","missed","Villanova",-1,-1,1
401169784,16,1,"Jeremiah Robinson-Earl","missed","Villanova",-1,-1,2
401169661,16,1,"Collin Gillespie","missed","Villanova",-1,-2,-1
401169785,16,1,"Paul Scruggs","made","Xavier",1,1,0
401168413,16,1,"Koby McEwen","made","Marquette",1,1,0
401169470,16,1,"Jermaine Samuels","missed","Villanova",-1,-1,0
401168435,16,1,"Nate Watson","made","Providence",1,1,0
401168306,16,1,"Justin Moore","made","Villanova",1,1,-1
401168452,16,1,"Jermaine Samuels","made","Villanova",1,1,0
401168419,16,1,"Cole Swider","missed","Villanova",-1,-1,0
401169471,16,1,"Quinton Rose","missed","Temple",-1,-2,-1
401169786,16,1,"Jason Carter","missed","Xavier",-1,-1,0
401168470,16,1,"Jermaine Samuels","missed","Villanova",-1,-1,0
401168454,16,1,"Myles Powell","missed","Seton Hall",-1,-1,0
401166061,17,1,"CJ Walker","made","Ohio State",1,3,2
401169780,17,1,"Tyson Jackson","missed","Middle Tennessee",-1,-1,0
401169781,17,1,"Scott Spencer","missed","La Salle",-1,-2,-1
401168325,17,1,"Jeremiah Robinson-Earl","made","Villanova",1,1,-1
401168396,17,1,"Saddiq Bey","made","Villanova",1,1,1
401168302,17,1,"Sean McDermott","missed","Butler",-1,-1,0
