Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,Date,Team,Opp,BO,Pos,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%
4/16/23,NYY,MIN,2,CF,4,0,0,0,0,1,0,0,0,25.00%,50.00%,0,0,106.7,0,0.25,0,0.174,4,4/16/23,NYY,MIN,2,CF,1,106.7,106.7,27.2,1,100.00%,1,100.00%
4/15/23,NYY,MIN,2,CF,4,1,1,0,0,1,0,0,0,50.00%,0.00%,0.5,0.5,93.2,0.5,0.75,1,0.659,340,4/15/23,NYY,MIN,2,CF,2,93.2,105,13.2,1,50.00%,1,50.00%
4/14/23,NYY,MIN,2,CF,4,1,0,0,1,1,1,0,0,0.00%,25.00%,0.75,0,93.4,0.25,0.25,1,0.501,230,4/14/23,NYY,MIN,2,CF,3,93.4,106,12.6,1,33.30%,1,33.30%
4/13/23,NYY,MIN,2,CF,3,0,0,0,0,0,0,0,0,0.00%,66.70%,0,0,93.3,0,0,0,0,-100,4/13/23,NYY,MIN,2,CF,1,93.3,93.3,27.3,0,0.00%,0,0.00%
4/12/23,NYY,@CLE,2,DH,4,0,0,0,0,0,0,0,0,25.00%,25.00%,0,0,99.5,0,0.25,0,0.174,4,4/12/23,NYY,@CLE,2,DH,2,99.5,103.6,33,1,50.00%,2,100.00%
4/11/23,NYY,@CLE,2,CF,5,2,0,0,0,1,0,0,0,0.00%,20.00%,0,0.5,87.5,0.4,0.4,0.4,0.353,128,4/11/23,NYY,@CLE,2,CF,4,87.5,104.7,7.9,0,0.00%,2,50.00%
Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,Date,Team,Opp,BO,Pos,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%
4/10/23,NYY,@CLE,2,CF,4,0,0,0,0,1,0,0,0,25.00%,50.00%,0,0,51.8,0,0.25,0,0.174,4,4/10/23,NYY,@CLE,2,CF,1,51.8,51.8,47.8,0,0.00%,0,0.00%
4/9/23,NYY,@BAL,2,CF,4,3,0,0,2,3,2,0,0,0.00%,0.00%,1.5,0.5,97.2,0.75,0.75,2.25,1.223,731,4/9/23,NYY,@BAL,2,CF,4,97.2,105.6,31.3,2,50.00%,3,75.00%
4/8/23,NYY,@BAL,2,CF,4,1,1,0,0,0,1,0,0,25.00%,25.00%,0.5,0.5,98,0.5,0.5,1,0.485,219,4/8/23,NYY,@BAL,2,CF,2,98,105.8,29.1,0,0.00%,1,50.00%
4/7/23,NYY,@BAL,2,CF-RF,5,0,0,0,0,0,0,1,0,20.00%,40.00%,0,0,94,0,0.2,0,0.139,-20,4/7/23,NYY,@BAL,2,CF-RF,2,94,104.9,24.4,0,0.00%,1,50.00%
4/5/23,NYY,PHI,2,CF,4,1,0,0,0,1,0,1,0,25.00%,25.00%,0,0.5,90.9,0.333,0.5,0.333,0.395,157,4/5/23,NYY,PHI,2,CF,2,90.9,98.1,20.2,0,0.00%,1,50.00%
4/4/23,NYY,PHI,2,DH,4,0,0,0,0,0,0,0,0,25.00%,50.00%,0,0,99.5,0,0.25,0,0.174,4,4/4/23,NYY,PHI,2,DH,1,99.5,99.5,42.8,0,0.00%,1,100.00%
4/3/23,NYY,PHI,2,CF,5,1,0,0,0,1,0,0,0,20.00%,40.00%,0,0.5,107.3,0.25,0.4,0.25,0.316,102,4/3/23,NYY,PHI,2,CF,2,107.3,111.1,24.9,0,0.00%,2,100.00%
4/2/23,NYY,SFG,2,RF,4,1,0,0,1,1,1,0,0,0.00%,50.00%,0.75,0,88.7,0.25,0.25,1,0.501,230,4/2/23,NYY,SFG,2,RF,2,88.7,111.4,7.9,1,50.00%,1,50.00%
4/1/23,NYY,SFG,2,CF,5,3,0,0,0,1,1,0,0,0.00%,20.00%,0,0.75,105.8,0.6,0.6,0.6,0.53,250,4/1/23,NYY,SFG,2,CF,4,105.8,108.8,10.2,0,0.00%,4,100.00%
3/30/23,NYY,SFG,2,CF-RF,4,2,0,0,1,1,2,0,0,0.00%,50.00%,0.75,1,88.8,0.5,0.5,1.25,0.722,383,3/30/23,NYY,SFG,2,CF-RF,2,88.8,109.3,32.4,1,50.00%,1,50.00%
