Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,Date,Team,Opp,BO,Pos,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%
Total,- - -,- - -,- - -,- - -,458,98,16,0,37,79,75,3,1,19.20%,28.40%,0.346,0.3,97.6,0.267,0.406,0.613,0.42,174,Total,- - -,- - -,- - -,- - -,240,97.6,116.9,20.4,66,27.50%,154,64.20%
9/29/23,NYY,@KCR,2,DH,4,1,1,0,0,2,0,0,0,25.00%,0.00%,0.333,0.333,104.6,0.333,0.5,0.667,0.485,219,9/29/23,NYY,@KCR,2,DH,3,104.6,110.6,29.9,1,33.30%,3,100.00%
9/28/23,NYY,@TOR,2,RF,4,0,0,0,0,0,0,0,0,25.00%,50.00%,0,0,94,0,0.25,0,0,-100,9/28/23,NYY,@TOR,2,RF,1,94,94,-22.4,0,0.00%,0,0.00%
9/27/23,NYY,@TOR,2,RF,5,2,0,0,2,3,4,0,0,40.00%,20.00%,2,0,112.5,0.667,0.8,2.667,1.176,698,9/27/23,NYY,@TOR,2,RF,2,112.5,112.7,26.1,2,100.00%,2,100.00%
9/25/23,NYY,ARI,2,DH,4,0,0,0,0,0,0,0,0,25.00%,25.00%,0,0,107.2,0,0.25,0,0.174,4,9/25/23,NYY,ARI,2,DH,2,107.2,112.2,20.2,1,50.00%,2,100.00%
9/24/23,NYY,ARI,2,DH,5,1,1,0,0,0,1,0,0,40.00%,40.00%,0.333,1,103.8,0.333,0.6,0.667,0.527,248,9/24/23,NYY,ARI,2,DH,1,103.8,103.8,45.8,0,0.00%,1,100.00%
9/22/23,NYY,ARI,2,RF,4,4,1,0,3,3,6,0,0,0.00%,0.00%,2.5,1,108.1,1,1,3.5,1.814,1140,9/22/23,NYY,ARI,2,RF,4,108.1,112.4,21.8,3,75.00%,4,100.00%
9/21/23,NYY,TOR,2,DH,4,2,1,0,0,0,1,0,0,0.00%,25.00%,0.25,0.667,102.6,0.5,0.5,0.75,0.532,252,9/21/23,NYY,TOR,2,DH,3,102.6,113.5,15,1,33.30%,2,66.70%
9/20/23,NYY,TOR,2,RF,4,0,0,0,0,0,0,0,0,50.00%,50.00%,0,0,,0,0.5,0,0.348,124,9/20/23,NYY,TOR,2,RF,0,,,,0,,0,
9/19/23,NYY,TOR,2,RF,4,2,0,0,0,1,0,0,0,0.00%,50.00%,0,1,95,0.5,0.5,0.5,0.441,189,9/19/23,NYY,TOR,2,RF,2,95,111.1,16,1,50.00%,1,50.00%
9/17/23,NYY,@PIT,2,RF,4,0,0,0,0,0,0,0,0,0.00%,25.00%,0,0,79.6,0,0,0,0,-100,9/17/23,NYY,@PIT,2,RF,3,79.6,93.2,-21.3,0,0.00%,0,0.00%
9/16/23,NYY,@PIT,2,RF,5,0,0,0,0,1,0,0,0,60.00%,20.00%,0,0,83.2,0,0.6,0,0.418,173,9/16/23,NYY,@PIT,2,RF,1,83.2,83.2,-21.6,0,0.00%,0,0.00%
9/15/23,NYY,@PIT,2,RF,5,3,0,0,0,1,1,0,0,0.00%,40.00%,0,1,106.1,0.6,0.6,0.6,0.53,250,9/15/23,NYY,@PIT,2,RF,3,106.1,111,3.4,1,33.30%,3,100.00%
9/14/23,NYY,@BOS,2,DH,5,1,0,0,1,1,4,0,0,60.00%,0.00%,1.5,0,95.3,0.5,0.8,2,0.849,472,9/14/23,NYY,@BOS,2,DH,2,95.3,110,10.7,1,50.00%,1,50.00%
9/14/23,NYY,@BOS,2,DH,4,0,0,0,0,0,0,0,0,0.00%,25.00%,0,0,98.2,0,0,0,0,-100,9/14/23,NYY,@BOS,2,DH,3,98.2,103.6,13.7,0,0.00%,2,66.70%
9/12/23,NYY,@BOS,2,DH,5,0,0,0,0,0,0,0,0,40.00%,40.00%,0,0,80.7,0,0.4,0,0.174,4,9/12/23,NYY,@BOS,2,DH,1,80.7,80.7,60,0,0.00%,0,0.00%
9/12/23,NYY,@BOS,2,RF,4,0,0,0,0,0,0,0,0,0.00%,50.00%,0,0,100.7,0,0,0,0,-100,9/12/23,NYY,@BOS,2,RF,2,100.7,107.1,49.9,0,0.00%,1,50.00%
9/10/23,NYY,MIL,2,RF,5,0,0,0,0,0,0,0,0,20.00%,40.00%,0,0,68.5,0,0.2,0,0,-100,9/10/23,NYY,MIL,2,RF,2,68.5,84.4,-8.7,0,0.00%,0,0.00%
9/9/23,NYY,MIL,2,DH,5,1,0,0,0,0,0,0,0,20.00%,0.00%,0,0.25,103.3,0.25,0.4,0.25,0.316,102,9/9/23,NYY,MIL,2,DH,4,103.3,106.1,18,0,0.00%,4,100.00%
9/8/23,NYY,MIL,2,DH,4,1,0,0,0,1,0,0,0,50.00%,25.00%,0,1,101.1,0.5,0.75,0.5,0.569,277,9/8/23,NYY,MIL,2,DH,1,101.1,101.1,14.9,0,0.00%,1,100.00%
Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,Date,Team,Opp,BO,Pos,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%
9/7/23,NYY,DET,2,RF,4,0,0,0,0,0,0,0,0,0.00%,25.00%,0,0,95.1,0,0,0,0,-100,9/7/23,NYY,DET,2,RF,3,95.1,102.4,39.4,1,33.30%,1,33.30%
9/6/23,NYY,DET,2,DH,5,2,1,0,0,1,0,0,0,20.00%,0.00%,0.25,0.5,103.1,0.5,0.6,0.75,0.564,274,9/6/23,NYY,DET,2,DH,4,103.1,109.1,0.6,0,0.00%,4,100.00%
9/5/23,NYY,DET,2,RF,4,1,0,0,0,1,0,0,0,75.00%,0.00%,0,1,115.7,1,1,1,0.743,398,9/5/23,NYY,DET,2,RF,1,115.7,115.7,15.6,1,100.00%,1,100.00%
9/3/23,NYY,@HOU,2,DH,4,0,0,0,0,0,0,0,0,0.00%,50.00%,0,0,87.6,0,0,0,0,-100,9/3/23,NYY,@HOU,2,DH,2,87.6,95.5,49.4,0,0.00%,1,50.00%
9/2/23,NYY,@HOU,2,RF,5,1,0,0,1,2,1,0,0,20.00%,60.00%,0.75,0,111.7,0.25,0.4,1,0.54,257,9/2/23,NYY,@HOU,2,RF,1,111.7,111.7,31.4,1,100.00%,1,100.00%
9/1/23,NYY,@HOU,2,RF,4,2,0,0,1,2,1,0,0,0.00%,0.00%,0.75,0.333,99.1,0.5,0.5,1.25,0.722,383,9/1/23,NYY,@HOU,2,RF,4,99.1,110.5,4.2,1,25.00%,2,50.00%
8/31/23,NYY,@DET,5,PH-RF,1,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,74.8,0,0,0,0,-100,8/31/23,NYY,@DET,5,PH-RF,1,74.8,74.8,-11.1,0,0.00%,0,0.00%
8/30/23,NYY,@DET,2,RF,5,0,0,0,0,0,0,0,0,20.00%,60.00%,0,0,105.2,0,0.2,0,0.139,-20,8/30/23,NYY,@DET,2,RF,1,105.2,105.2,-1.7,0,0.00%,1,100.00%
8/29/23,NYY,@DET,2,RF,4,1,0,0,0,1,0,0,0,0.00%,25.00%,0,0.333,92.3,0.25,0.25,0.25,0.221,36,8/29/23,NYY,@DET,2,RF,3,92.3,104.2,14.7,0,0.00%,1,33.30%
8/28/23,NYY,@DET,2,RF,5,1,0,0,1,2,1,0,0,40.00%,40.00%,1,0,103.5,0.333,0.6,1.333,0.679,354,8/28/23,NYY,@DET,2,RF,1,103.5,103.5,24.1,1,100.00%,1,100.00%
8/27/23,NYY,@TBR,2,DH,4,0,0,0,0,0,0,0,0,0.00%,75.00%,0,0,86.2,0,0,0,0,-100,8/27/23,NYY,@TBR,2,DH,1,86.2,86.2,38.9,0,0.00%,0,0.00%
8/26/23,NYY,@TBR,2,DH,4,0,0,0,0,0,0,0,0,0.00%,25.00%,0,0,90.3,0,0,0,0,-100,8/26/23,NYY,@TBR,2,DH,3,90.3,96.7,50.3,0,0.00%,1,33.30%
8/25/23,NYY,@TBR,2,RF,5,0,0,0,0,1,0,0,0,20.00%,80.00%,0,0,,0,0.2,0,0.139,-20,8/25/23,NYY,@TBR,2,RF,0,,,,0,,0,
8/24/23,NYY,WSN,2,RF,5,1,0,0,1,1,1,0,0,20.00%,0.00%,0.75,0,97.9,0.25,0.4,1,0.54,257,8/24/23,NYY,WSN,2,RF,4,97.9,109.9,50,1,25.00%,2,50.00%
8/23/23,NYY,WSN,2,DH,4,3,0,0,3,3,6,0,0,0.00%,0.00%,2.25,0,103.9,0.75,0.75,3,1.503,925,8/23/23,NYY,WSN,2,DH,4,103.9,112.8,25.9,2,50.00%,3,75.00%
8/22/23,NYY,WSN,2,RF,4,0,0,0,0,0,0,0,0,0.00%,75.00%,0,0,100.5,0,0,0,0,-100,8/22/23,NYY,WSN,2,RF,1,100.5,100.5,35.9,0,0.00%,1,100.00%
8/20/23,NYY,BOS,2,DH,5,0,0,0,0,0,0,0,0,20.00%,60.00%,0,0,100.9,0,0.2,0,0.139,-20,8/20/23,NYY,BOS,2,DH,1,100.9,100.9,40.1,0,0.00%,1,100.00%
8/19/23,NYY,BOS,2,RF,4,1,0,0,1,1,1,0,0,0.00%,0.00%,0.75,0,102.7,0.25,0.25,1,0.501,230,8/19/23,NYY,BOS,2,RF,4,102.7,110,35,2,50.00%,3,75.00%
8/18/23,NYY,BOS,2,DH,4,1,0,0,1,1,2,0,0,0.00%,25.00%,0.75,0,98,0.25,0.25,1,0.501,230,8/18/23,NYY,BOS,2,DH,3,98,104.7,8.4,1,33.30%,2,66.70%
Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,Date,Team,Opp,BO,Pos,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%
8/16/23,NYY,@ATL,3,DH,4,1,0,0,0,0,0,0,0,0.00%,75.00%,0,1,105.4,0.25,0.25,0.25,0.221,36,8/16/23,NYY,@ATL,3,DH,1,105.4,105.4,13,0,0.00%,1,100.00%
8/15/23,NYY,@ATL,2,RF,4,0,0,0,0,0,0,0,0,50.00%,0.00%,0,0,83,0,0.5,0,0.348,124,8/15/23,NYY,@ATL,2,RF,2,83,88.9,-31.1,0,0.00%,0,0.00%
8/14/23,NYY,@ATL,2,DH,4,2,0,0,0,0,0,0,0,0.00%,0.00%,0,0.5,100.1,0.5,0.5,0.5,0.441,189,8/14/23,NYY,@ATL,2,DH,4,100.1,112.9,15.3,0,0.00%,3,75.00%
8/13/23,NYY,@MIA,2,RF,5,0,0,0,0,1,0,0,0,40.00%,0.00%,0,0,90.4,0,0.4,0,0.278,76,8/13/23,NYY,@MIA,2,RF,3,90.4,103.3,22.6,0,0.00%,2,66.70%
8/12/23,NYY,@MIA,2,RF,4,1,0,0,0,0,0,0,0,0.00%,25.00%,0,0.333,101.2,0.25,0.25,0.25,0.221,36,8/12/23,NYY,@MIA,2,RF,3,101.2,108.7,7.7,0,0.00%,3,100.00%
8/11/23,NYY,@MIA,2,DH,5,1,0,0,1,1,1,0,0,40.00%,40.00%,1,0,113.8,0.333,0.6,1.333,0.679,354,8/11/23,NYY,@MIA,2,DH,1,113.8,113.8,26.5,1,100.00%,1,100.00%
8/9/23,NYY,@CHW,2,RF,4,1,0,0,0,1,0,0,0,25.00%,0.00%,0,0.333,92.4,0.333,0.5,0.333,0.395,157,8/9/23,NYY,@CHW,2,RF,3,92.4,100.4,23.4,0,0.00%,2,66.70%
8/8/23,NYY,@CHW,2,DH,5,1,0,0,1,1,1,0,0,60.00%,20.00%,1.5,0,109.1,0.5,0.8,2,0.818,450,8/8/23,NYY,@CHW,2,DH,1,109.1,109.1,39.5,1,100.00%,1,100.00%
8/7/23,NYY,@CHW,2,RF,5,2,1,0,0,1,0,0,0,20.00%,20.00%,0.25,0.667,89.6,0.5,0.6,0.75,0.564,274,8/7/23,NYY,@CHW,2,RF,3,89.6,95.4,25.1,0,0.00%,1,33.30%
8/6/23,NYY,HOU,2,DH,6,0,0,0,0,0,1,0,0,33.30%,50.00%,0,0,88.5,0,0.333,0,0.232,44,8/6/23,NYY,HOU,2,DH,1,88.5,88.5,-14.1,0,0.00%,0,0.00%
8/5/23,NYY,HOU,2,RF,4,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,100.9,0,0,0,0,-100,8/5/23,NYY,HOU,2,RF,4,100.9,105.4,48.2,1,25.00%,3,75.00%
8/4/23,NYY,HOU,9,PH,1,0,0,0,0,0,0,0,0,0.00%,100.00%,0,0,,0,0,0,0,-100,8/4/23,NYY,HOU,9,PH,0,,,,0,,0,
8/3/23,NYY,HOU,2,DH,4,0,0,0,0,1,0,0,0,25.00%,50.00%,0,0,79.2,0,0.25,0,0.174,4,8/3/23,NYY,HOU,2,DH,1,79.2,79.2,52.4,0,0.00%,0,0.00%
8/2/23,NYY,TBR,2,DH,4,1,0,0,0,0,0,0,0,0.00%,0.00%,0,0.25,102.1,0.25,0.25,0.25,0.221,36,8/2/23,NYY,TBR,2,DH,4,102.1,108.5,16.8,1,25.00%,3,75.00%
8/1/23,NYY,TBR,2,DH,4,1,0,0,0,0,0,0,0,0.00%,0.00%,0,0.25,98.2,0.25,0.25,0.25,0.221,36,8/1/23,NYY,TBR,2,DH,4,98.2,115.5,14.5,2,50.00%,3,75.00%
7/31/23,NYY,TBR,2,DH,4,0,0,0,0,0,0,0,0,75.00%,25.00%,0,0,,0,0.75,0,0.522,245,7/31/23,NYY,TBR,2,DH,0,,,,0,,0,
7/29/23,NYY,@BAL,2,RF,5,3,0,0,1,2,2,0,0,0.00%,20.00%,0.6,0.667,102.2,0.6,0.6,1.2,0.754,406,7/29/23,NYY,@BAL,2,RF,4,102.2,111.6,24.5,2,50.00%,3,75.00%
7/28/23,NYY,@BAL,2,DH,4,0,0,0,0,0,0,0,0,75.00%,0.00%,0,0,104.4,0,0.75,0,0.522,245,7/28/23,NYY,@BAL,2,DH,1,104.4,104.4,15.7,0,0.00%,1,100.00%
6/3/23,NYY,@LAD,2,RF,4,1,0,0,1,1,1,0,0,25.00%,25.00%,1,0,102.4,0.333,0.5,1.333,0.675,351,6/3/23,NYY,@LAD,2,RF,2,102.4,113.7,26.8,1,50.00%,1,50.00%
Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,Date,Team,Opp,BO,Pos,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%
6/2/23,NYY,@LAD,2,RF,4,0,0,0,0,0,0,0,0,0.00%,50.00%,0,0,85.4,0,0,0,0,-100,6/2/23,NYY,@LAD,2,RF,2,85.4,92.9,7.6,0,0.00%,0,0.00%
5/31/23,NYY,@SEA,2,DH,4,0,0,0,0,0,0,0,0,25.00%,25.00%,0,0,110.2,0,0.25,0,0,-100,5/31/23,NYY,@SEA,2,DH,2,110.2,111.2,23.7,1,50.00%,2,100.00%
5/30/23,NYY,@SEA,2,RF,5,1,0,0,1,2,1,0,0,40.00%,40.00%,1,0,106.3,0.333,0.6,1.333,0.679,354,5/30/23,NYY,@SEA,2,RF,1,106.3,106.3,37.6,1,100.00%,1,100.00%
5/29/23,NYY,@SEA,2,RF,5,3,1,0,2,3,3,0,0,20.00%,0.00%,1.75,0.5,99.5,0.75,0.8,2.5,1.19,708,5/29/23,NYY,@SEA,2,RF,4,99.5,116.9,37,2,50.00%,3,75.00%
5/28/23,NYY,SDP,2,RF,4,2,0,0,1,2,2,0,0,0.00%,50.00%,0.75,1,110.8,0.5,0.5,1.25,0.722,383,5/28/23,NYY,SDP,2,RF,2,110.8,111.1,24.4,1,50.00%,2,100.00%
5/27/23,NYY,SDP,2,DH,4,1,0,0,0,1,0,0,0,0.00%,25.00%,0,0.333,106.7,0.25,0.25,0.25,0.221,36,5/27/23,NYY,SDP,2,DH,3,106.7,114.6,21.3,1,33.30%,3,100.00%
5/26/23,NYY,SDP,2,RF,4,1,1,0,0,0,0,0,0,0.00%,75.00%,0.25,1,92.3,0.25,0.25,0.5,0.311,99,5/26/23,NYY,SDP,2,RF,1,92.3,92.3,25.9,0,0.00%,0,0.00%
5/25/23,NYY,BAL,2,RF,4,0,0,0,0,1,0,0,0,25.00%,25.00%,0,0,98.6,0,0.25,0,0.174,4,5/25/23,NYY,BAL,2,RF,2,98.6,101.6,1.8,0,0.00%,2,100.00%
5/24/23,NYY,BAL,2,RF,5,0,0,0,0,0,0,0,0,60.00%,0.00%,0,0,90.6,0,0.6,0,0.418,173,5/24/23,NYY,BAL,2,RF,2,90.6,101.7,51.6,0,0.00%,1,50.00%
5/23/23,NYY,BAL,2,RF,5,1,0,0,1,1,1,0,0,20.00%,0.00%,0.75,0,96.5,0.25,0.4,1,0.54,257,5/23/23,NYY,BAL,2,RF,4,96.5,106.6,27.5,1,25.00%,2,50.00%
5/20/23,NYY,@CIN,2,DH,5,4,1,0,0,1,3,0,0,20.00%,0.00%,0.25,1,98.7,1,1,1.25,0.917,519,5/20/23,NYY,@CIN,2,DH,4,98.7,115.1,14.1,2,50.00%,2,50.00%
5/19/23,NYY,@CIN,2,CF-RF,5,1,0,0,1,2,1,0,0,20.00%,40.00%,0.75,0,101.5,0.25,0.4,1,0.54,257,5/19/23,NYY,@CIN,2,CF-RF,2,101.5,109.6,47.8,1,50.00%,1,50.00%
5/18/23,NYY,@TOR,2,DH,4,2,1,0,1,1,2,0,0,0.00%,25.00%,1,0.5,104.8,0.5,0.5,1.5,0.812,446,5/18/23,NYY,@TOR,2,DH,3,104.8,110.3,27.3,2,66.70%,2,66.70%
5/17/23,NYY,@TOR,2,RF,5,1,0,0,0,0,0,1,0,40.00%,20.00%,0,0.5,90.6,0.333,0.6,0.333,0.395,157,5/17/23,NYY,@TOR,2,RF,2,90.6,90.6,-26.4,0,0.00%,0,0.00%
5/16/23,NYY,@TOR,2,DH,5,1,0,0,1,1,2,0,0,0.00%,60.00%,0.6,0,103.1,0.2,0.2,0.8,0.401,161,5/16/23,NYY,@TOR,2,DH,2,103.1,113.1,13.2,1,50.00%,1,50.00%
5/15/23,NYY,@TOR,2,RF,5,2,0,0,2,2,3,0,0,60.00%,0.00%,3,0,108.5,1,1,4,1.35,819,5/15/23,NYY,@TOR,2,RF,2,108.5,114.9,26.4,2,100.00%,2,100.00%
5/14/23,NYY,TBR,2,RF,5,1,0,0,0,0,1,0,0,0.00%,40.00%,0,0.333,98.6,0.2,0.2,0.2,0.177,5,5/14/23,NYY,TBR,2,RF,3,98.6,111.9,28.2,1,33.30%,2,66.70%
5/13/23,NYY,TBR,2,DH,5,2,0,0,2,2,4,0,0,20.00%,20.00%,1.5,0,108.7,0.5,0.6,2,0.941,535,5/13/23,NYY,TBR,2,DH,3,108.7,113.5,30.2,3,100.00%,3,100.00%
5/12/23,NYY,TBR,2,RF,4,0,0,0,0,1,0,0,0,25.00%,25.00%,0,0,74.2,0,0.25,0,0.174,4,5/12/23,NYY,TBR,2,RF,2,74.2,78.8,36.2,0,0.00%,0,0.00%
Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,Date,Team,Opp,BO,Pos,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%
5/11/23,NYY,TBR,2,RF,4,0,0,0,0,0,0,0,0,0.00%,75.00%,0,0,109.3,0,0,0,0,-100,5/11/23,NYY,TBR,2,RF,1,109.3,109.3,-1.9,0,0.00%,1,100.00%
5/10/23,NYY,OAK,2,DH,5,3,1,0,0,2,0,0,0,20.00%,20.00%,0.25,1,99.8,0.75,0.8,1,0.741,397,5/10/23,NYY,OAK,2,DH,3,99.8,115.2,21.3,1,33.30%,2,66.70%
5/9/23,NYY,OAK,2,RF,5,0,0,0,0,1,2,0,0,20.00%,0.00%,0,0,90.1,0,0.2,0,0.139,-20,5/9/23,NYY,OAK,2,RF,4,90.1,109.3,15.3,1,25.00%,1,25.00%
4/27/23,NYY,@TEX,2,RF,2,0,0,0,0,0,0,0,0,0.00%,100.00%,0,0,,0,0,0,0,-100,4/27/23,NYY,@TEX,2,RF,0,,,,0,,0,
4/26/23,NYY,@MIN,2,DH,5,3,2,0,0,1,3,0,1,20.00%,20.00%,0.5,1,102.4,0.75,0.8,1.25,0.813,447,4/26/23,NYY,@MIN,2,DH,3,102.4,107.1,15.9,1,33.30%,3,100.00%
4/25/23,NYY,@MIN,3,CF,4,1,0,0,0,1,0,0,0,0.00%,0.00%,0,0.25,96.5,0.25,0.25,0.25,0.221,36,4/25/23,NYY,@MIN,3,CF,4,96.5,104.7,9,0,0.00%,2,50.00%
4/24/23,NYY,@MIN,2,DH,4,1,1,0,0,0,0,0,0,0.00%,25.00%,0.25,0.333,97.1,0.25,0.25,0.5,0.311,99,4/24/23,NYY,@MIN,2,DH,3,97.1,102.6,24.3,1,33.30%,2,66.70%
4/23/23,NYY,TOR,2,RF,4,0,0,0,0,0,0,0,0,0.00%,25.00%,0,0,90.9,0,0,0,0,-100,4/23/23,NYY,TOR,2,RF,3,90.9,101.2,-5.2,0,0.00%,2,66.70%
4/22/23,NYY,TOR,2,CF,4,0,0,0,0,0,0,0,0,0.00%,25.00%,0,0,90.5,0,0,0,0,-100,4/22/23,NYY,TOR,2,CF,3,90.5,105.2,12.9,1,33.30%,2,66.70%
4/21/23,NYY,TOR,2,RF,4,1,0,0,0,0,0,0,0,0.00%,50.00%,0,0.5,92.7,0.25,0.25,0.25,0.221,36,4/21/23,NYY,TOR,2,RF,2,92.7,111.2,-3.8,1,50.00%,1,50.00%
4/20/23,NYY,LAA,2,RF,5,1,0,0,0,2,0,0,0,20.00%,40.00%,0,0.5,95.2,0.25,0.4,0.25,0.316,102,4/20/23,NYY,LAA,2,RF,2,95.2,114.4,-3.4,0,0.00%,1,50.00%
4/19/23,NYY,LAA,2,CF-RF,5,1,0,0,1,1,2,0,0,40.00%,20.00%,1,0,105.1,0.333,0.6,1.333,0.675,351,4/19/23,NYY,LAA,2,CF-RF,2,105.1,111.7,35.7,1,50.00%,2,100.00%
4/18/23,NYY,LAA,2,RF-CF,4,0,0,0,0,0,1,0,0,0.00%,50.00%,0,0,92.5,0,0,0,0,-100,4/18/23,NYY,LAA,2,RF-CF,2,92.5,101,25.5,0,0.00%,1,50.00%
